Screen Size (In.),RAM (GB),Weight (Kg),Price (Sonic Rings),ManufacturerLabel,CategoryLabel,ScreenLabel,CPULabel,StorageLabel,GPULabel
15.6,6,2.23,4881708.0,1,4,1,68,9,48
15.6,8,1.7,9335710.8,3,5,9,89,16,66
12.5,8,1.26,11870820.0,8,5,9,89,16,48
15.6,32,2.06,23465988.0,5,4,6,94,12,68
17.3,8,2.7,10661508.0,12,2,9,94,17,69
15.6,8,2.0,8385156.0,17,4,16,68,16,48
14.0,8,2.0,11861928.0,3,4,9,89,17,48
15.6,4,1.85,3992508.0,11,4,9,50,9,42
15.6,8,2.5,8883108.0,3,2,9,94,16,68
14.0,8,1.48,11275056.0,8,4,9,71,16,48
15.6,8,1.9,9327708.0,5,5,16,76,4,66
15.6,8,1.84,10172448.0,8,4,9,68,16,48
15.6,4,2.0,2445211.08,3,4,1,35,9,38
15.6,8,2.0,10161333.0,5,4,9,76,16,66
15.6,4,2.2,2444410.8,5,4,1,34,25,35
15.6,12,2.2,7993908.0,11,4,9,6,21,6
15.6,8,2.1,6366672.0,8,4,16,53,9,64
13.9,16,1.4,18664308.0,11,1,12,98,28,55
13.3,8,1.2,14040468.0,5,5,9,98,16,55
15.6,16,2.4,10039068.0,11,2,16,94,19,69
14.0,2,1.44,2480868.0,8,4,1,34,22,36
15.6,16,1.88,14297980.32,5,5,9,99,30,55
11.6,4,1.5,3334500.0,3,1,35,35,22,38
15.6,8,1.9,5895396.0,5,5,9,76,9,6
15.6,16,2.06,18027818.64,5,4,6,94,28,68
15.6,8,1.84,11595168.0,8,4,9,89,16,48
17.3,8,2.7,12528828.0,12,2,9,94,4,72
15.6,8,2.6,15456696.84,8,6,9,94,16,92
15.6,16,2.4,12475476.0,17,4,16,81,28,62
15.6,8,2.02,8633242.8,5,4,9,98,5,6
15.6,4,2.2,2863135.08,11,4,1,35,9,38
15.6,8,2.65,8883108.0,5,2,9,70,9,68
15.6,8,2.36,4956134.04,5,4,35,68,21,48
14.0,8,1.36,12688884.0,5,4,9,71,16,48
15.6,4,1.86,3903588.0,8,4,1,50,25,42
14.0,8,2.0,8402940.0,3,4,9,68,16,48
17.3,6,2.8,6393348.0,11,4,3,68,4,78
15.6,8,1.86,5681988.0,8,4,9,68,9,48
15.6,8,2.2,4437108.0,11,4,1,50,16,61
15.6,8,2.04,3458988.0,8,4,1,102,21,37
17.3,8,2.8,9647820.0,5,4,9,76,4,6
15.6,8,2.4,7193628.0,11,2,16,70,4,68
15.6,8,2.33,7993908.0,5,4,9,89,16,26
14.0,8,1.36,15561000.0,8,5,16,89,16,48
15.6,12,2.26,9772308.0,3,1,8,89,31,67
15.6,4,2.1,3787992.0,1,4,1,14,3,16
17.3,16,3.25,19553508.0,3,2,16,25,17,33
17.3,4,2.6,4348188.0,11,4,3,12,3,16
13.3,8,1.62,7727236.92,5,1,8,98,16,55
15.6,4,1.91,4348099.08,8,4,9,14,16,16
11.6,4,1.59,4917276.0,11,3,10,38,3,38
15.6,4,1.8,2747628.0,5,4,1,33,25,36
14.0,4,1.5,2543112.0,3,4,1,35,22,38
15.6,8,2.4,7522632.0,1,4,9,94,9,68
17.3,8,3.35,10590372.0,8,2,16,94,4,68
15.6,4,1.85,3587922.0,11,4,9,50,3,42
15.6,8,2.3,14716260.0,3,2,16,94,4,72
14.0,8,1.5,9772308.0,11,4,16,68,16,66
13.3,16,1.1,15551218.8,3,5,8,89,28,48
14.0,8,1.13,20291544.0,11,5,11,89,28,48
13.3,4,1.5,4881708.0,11,4,16,53,3,48
15.6,8,2.23,12173148.0,5,6,9,66,25,2
15.6,8,2.0,18984420.0,5,6,16,86,16,92
14.0,16,1.42,22310028.0,11,1,38,89,28,48
17.3,8,3.0,9238788.0,3,2,9,94,9,68
17.3,16,3.0,14147172.0,3,2,9,94,17,69
15.6,12,2.2,6170959.08,1,4,10,76,9,89
17.3,8,2.7,11995308.0,12,2,9,94,16,69
15.6,8,2.33,6925712.04,5,4,9,89,16,26
15.6,4,1.91,4437108.0,8,5,9,14,16,5
15.6,8,2.1,10933247.52,11,4,16,98,16,31
14.0,8,1.9,8340696.0,11,4,16,68,16,48
15.6,8,1.78,24115104.0,5,6,6,94,16,92
14.0,16,1.13,23341500.0,11,5,11,89,12,48
15.6,4,2.2,2720952.0,11,4,1,35,9,38
17.3,16,2.9,13595868.0,3,2,9,94,17,68
15.6,8,2.1,10176894.0,11,4,16,76,17,31
15.6,8,2.5,7816068.0,1,4,9,94,16,68
17.3,16,2.8,19998108.0,12,2,9,94,17,73
14.0,8,1.1,16654716.0,3,5,9,89,28,48
13.3,16,1.2,15534324.0,17,5,9,81,28,42
14.0,8,1.36,14938560.0,5,5,9,91,28,35
15.6,4,2.2,3636828.0,11,4,9,50,25,42
11.6,2,1.15,2707169.4,11,4,1,35,22,38
15.6,8,2.67,17117100.0,11,6,9,94,28,92
14.0,8,1.7,17277156.0,11,5,19,94,28,67
15.6,4,2.1,4170348.0,8,4,9,50,9,5
13.3,8,1.6,7015876.92,1,1,14,81,16,42
13.3,8,1.27,8251776.0,3,1,14,68,16,48
15.6,4,2.3,5325418.8,5,4,9,68,16,21
13.3,4,1.65,6126588.0,5,4,1,50,3,42
14.0,8,1.43,13338000.0,8,5,9,81,16,42
15.6,8,2.14,4801235.4,5,4,1,68,9,48
14.0,8,1.75,10807158.96,11,5,16,98,16,31
15.6,16,2.0,16885908.0,11,1,12,94,28,68
12.3,6,1.4,3992508.0,4,4,25,38,33,38
15.6,8,2.31,12688884.0,8,4,9,96,16,49
15.6,8,2.3,5308524.0,3,4,9,53,9,66
17.3,16,4.42,24888708.0,5,2,11,95,17,73
15.6,8,2.62,10305828.0,5,2,16,94,4,69
15.6,8,2.02,10158220.8,5,4,9,98,19,6
14.0,8,1.6,9772308.0,5,5,9,91,16,48
17.3,12,3.35,17775108.0,8,2,9,94,17,73
11.6,4,1.16,2658708.0,13,1,14,35,24,38
11.6,4,1.15,2391948.0,16,3,1,34,6,36
13.3,8,1.4,8980920.0,11,4,16,89,16,48
14.0,4,1.7,5326308.0,11,4,16,54,3,48
15.6,16,2.3,21740940.0,11,6,13,91,28,66
15.6,16,2.5,21776508.0,11,4,9,96,28,95
17.3,8,3.2,15071940.0,3,2,9,24,17,33
15.6,4,2.1,3085524.0,8,4,1,34,25,36
12.3,16,1.1,19553508.0,7,5,37,97,28,47
14.0,24,1.32,21180744.0,11,5,5,89,28,48
15.6,4,2.0,4970628.0,3,4,9,68,16,48
17.3,8,2.8,4614948.0,11,4,3,9,9,14
15.6,4,2.2,6660108.0,5,4,9,76,16,6
12.5,8,1.36,12706668.0,11,5,16,68,16,48
15.6,4,2.2,3103308.0,11,4,9,103,3,39
15.6,8,2.2,9772308.0,8,2,16,94,4,68
14.0,8,1.64,10483668.0,5,4,9,72,16,63
15.6,4,2.4,3928485.6,1,4,1,68,25,48
15.6,8,2.23,17721756.0,5,6,9,104,34,97
15.6,8,2.2,9138664.08,12,2,9,70,16,68
13.5,16,1.25,23021388.0,14,5,36,92,28,52
15.6,8,1.91,5237388.0,8,4,1,68,3,48
15.6,16,2.17,17561700.0,5,6,16,86,16,97
15.6,8,2.31,13640328.0,8,6,16,96,28,48
14.0,8,1.65,11959740.0,11,4,9,68,16,48
15.6,8,2.36,8705268.0,5,4,9,98,4,6
11.6,4,1.47,4259268.0,5,1,35,102,25,37
17.3,8,4.42,18193032.0,5,4,16,93,9,72
13.5,4,1.252,8794188.0,14,5,36,46,3,47
13.5,8,1.25,15996708.0,14,5,36,92,16,52
17.3,8,2.5,5689990.8,8,4,3,50,16,42
15.6,4,2.23,4837248.0,1,4,9,50,9,66
11.6,4,1.4,3868020.0,1,3,1,34,3,36
15.6,8,2.37,6660108.0,3,4,9,68,9,48
14.0,8,1.5,7104708.0,11,4,16,89,28,27
15.6,8,2.67,18584280.0,11,4,9,96,16,95
15.6,4,2.0,2703168.0,3,4,1,103,25,38
15.6,4,2.2,4170348.0,1,4,1,50,25,78
15.6,8,2.02,6749028.0,5,4,9,76,21,6
17.3,12,3.78,15107508.0,8,2,16,94,9,72
14.0,12,1.4,16521336.0,11,5,21,83,16,42
13.3,8,1.29,17775108.0,8,1,12,98,28,55
15.6,8,1.9,10261368.0,8,4,9,68,25,1
12.3,8,1.1,11337300.0,7,5,37,75,3,47
13.3,8,1.42,16377730.2,5,5,8,76,16,55
15.6,12,2.06,11550708.0,3,4,13,84,4,43
14.0,8,1.79,6580080.0,5,4,1,52,3,42
15.6,8,1.78,21411936.0,5,6,9,94,16,92
14.0,8,1.7,12128688.0,11,4,9,68,8,48
15.6,8,2.2,6002100.0,5,4,9,76,9,5
13.3,8,1.05,14867424.0,17,4,16,68,16,48
15.6,8,2.16,11221704.0,5,4,16,98,28,66
15.6,4,2.18,5216047.2,5,4,1,53,9,48
13.3,4,1.49,6455592.0,8,4,16,76,3,55
15.6,4,1.89,2213218.8,4,4,9,28,33,35
15.6,4,2.3,5023980.0,11,4,1,48,3,42
14.0,8,1.75,9327708.0,11,4,16,76,16,55
15.6,16,2.17,20789496.0,5,6,16,86,28,97
15.6,16,2.06,16885908.0,5,4,9,94,28,68
12.5,16,1.36,15987816.0,11,5,16,89,28,48
12.5,16,0.91,17339400.0,3,5,9,89,28,48
15.6,8,2.3,8998615.08,11,4,16,68,16,66
13.3,32,1.05,24888708.0,17,5,8,89,28,48
15.6,8,1.99,12004200.0,3,2,9,94,4,68
15.6,8,2.2,5148468.0,1,4,1,2,9,30
17.3,24,4.33,11283948.0,3,2,14,84,17,83
12.5,8,1.3,9772308.0,11,5,10,62,8,42
15.6,8,2.17,7993018.8,11,4,9,98,16,55
14.0,8,1.48,15552108.0,8,4,9,91,12,48
13.3,8,1.4,8438508.0,11,4,16,53,16,48
15.6,8,2.3,8100612.0,11,4,16,68,16,48
11.6,4,1.2,3023280.0,3,3,1,35,33,38
15.6,8,1.91,5504059.08,8,4,1,68,16,5
13.9,8,1.4,14218308.0,11,1,14,76,16,55
14.0,4,2.1,2658708.0,11,4,1,35,25,38
11.6,4,1.25,2356380.0,11,3,1,34,7,36
13.3,8,1.44,8438508.0,11,4,9,68,16,48
15.6,8,2.0,10883808.0,3,4,9,89,17,48
15.6,4,2.2,5450796.0,1,4,16,76,9,90
13.3,8,1.34,11764116.0,8,5,16,89,28,48
15.6,8,2.4,10216908.0,11,2,16,94,17,72
13.3,8,1.29,7993908.0,5,5,14,68,3,48
15.6,4,2.2,5681988.0,1,4,9,89,25,66
15.6,8,2.18,7433712.0,5,4,9,68,9,48
15.6,16,2.2,10841482.08,5,4,9,98,19,6
15.6,16,1.95,12448355.4,19,4,16,98,16,90
11.6,2,1.1,2178540.0,3,3,1,35,22,38
15.6,4,2.04,4636911.24,8,4,35,76,9,55
15.6,24,2.24,26391456.0,3,2,9,94,28,88
15.6,8,2.04,7904988.0,8,4,9,68,16,63
17.3,16,3.0,13373568.0,3,2,9,94,17,86
15.6,8,3.2,12439908.0,11,2,16,94,17,72
13.3,8,1.32,12439908.0,8,5,16,89,16,48
14.0,8,1.64,11379359.16,5,4,9,71,16,48
15.6,4,1.63,6126588.0,8,4,1,50,3,42
17.3,8,2.8,7904988.0,5,4,16,76,4,6
14.0,8,2.02,11915280.0,11,4,9,62,16,42
15.6,4,2.2,7104708.0,11,4,9,89,9,60
15.6,8,2.2,4081428.0,11,4,1,50,21,61
15.6,4,2.3,5201820.0,5,4,9,68,25,21
15.6,8,1.9,12244284.0,5,4,9,72,16,48
17.3,16,4.42,26789550.84,5,2,16,94,4,73
15.6,8,2.0,7647120.0,17,4,16,68,25,48
15.6,8,2.0,11550708.0,3,4,13,89,17,82
13.3,4,1.2,3281148.0,13,4,16,38,24,38
15.6,8,2.3,14662908.0,3,2,16,70,4,72
15.6,8,1.93,12173148.0,5,4,9,91,16,63
15.6,8,2.2,7090569.72,5,4,9,76,16,6
15.6,4,1.86,3547819.08,8,4,9,102,16,37
17.3,12,2.62,15996708.0,8,2,9,94,9,72
14.0,8,1.87,7638228.0,11,4,16,89,16,66
13.3,8,1.2,12439908.0,5,5,31,98,16,55
14.0,4,1.6,6543356.04,5,4,9,50,3,42
13.3,8,1.34,10181340.0,8,5,22,89,16,48
15.6,8,2.4,7095816.0,1,2,9,70,9,68
15.6,4,2.0,3103308.0,3,4,1,17,25,12
15.6,4,2.1,6273306.0,8,4,9,53,3,48
14.0,4,1.87,6980220.0,11,4,9,68,25,48
15.6,4,2.15,4111216.2,11,4,9,62,9,42
15.6,4,1.86,3530124.0,8,4,9,50,25,42
15.6,8,1.99,15374268.0,11,4,16,89,28,48
15.6,4,2.2,4437108.0,11,4,9,50,3,42
15.6,8,1.9,9932275.08,5,4,9,68,16,48
17.3,16,4.42,23999508.0,5,2,16,94,17,73
17.3,8,2.65,4838581.8,8,4,3,50,9,42
17.3,8,2.63,11381760.0,8,4,9,89,9,63
15.6,4,2.0,1991808.0,3,4,1,35,25,38
13.3,4,1.35,2267460.0,13,4,16,28,22,35
17.3,6,2.8,8438508.0,11,4,3,89,4,66
15.6,6,1.91,5058658.8,8,4,16,3,3,6
15.6,4,2.18,5494366.8,5,4,1,50,9,19
11.6,4,1.25,3103308.0,1,1,14,36,22,38
15.6,4,2.05,5601960.0,11,4,9,54,3,48
13.3,16,1.16,17472780.0,8,5,20,41,28,41
17.3,8,3.4,26667108.0,11,4,16,94,16,98
15.6,8,2.5,7460388.0,3,4,9,70,4,68
13.3,8,1.21,14218308.0,5,5,12,76,3,55
15.6,4,1.93,8527428.0,5,4,1,71,25,48
15.6,8,2.2,6571188.0,6,4,1,68,9,48
15.6,4,2.2,3058848.0,11,4,9,103,25,39
14.0,4,2.02,8803080.0,11,4,1,68,25,48
17.3,8,3.14,16547923.08,8,6,3,72,25,92
14.0,8,1.94,3458988.0,8,4,1,102,21,37
15.6,6,1.95,5770908.0,8,4,16,15,16,6
15.6,8,2.3,7380360.0,11,4,9,68,16,48
15.6,4,2.05,6091020.0,11,4,9,76,25,48
14.0,4,1.4,2214108.0,13,4,9,28,24,35
14.0,16,1.24,16583580.0,17,5,8,89,28,48
17.3,32,4.6,23679396.0,11,2,16,85,17,73
17.3,16,4.14,24266268.0,12,2,9,95,29,73
15.6,8,2.2,6660196.92,5,4,9,89,16,21
14.0,4,1.45,3458988.0,13,4,16,38,24,38
15.6,8,1.9,8967759.84,5,4,1,71,25,48
13.3,4,1.49,6393348.0,8,4,9,53,3,48
15.6,16,1.93,13670471.88,5,4,9,91,16,63
11.6,4,1.26,2623140.0,5,3,1,34,6,36
17.3,16,4.5,20887308.0,12,2,9,85,4,85
17.3,16,3.78,13320216.0,8,2,16,94,17,68
14.0,12,1.4,14876316.0,11,5,16,83,16,42
15.6,12,2.2,5415228.0,11,4,35,98,9,48
17.3,8,2.73,15738840.0,3,2,16,70,4,72
15.6,8,2.2,6571188.0,3,1,35,68,9,42
15.6,12,2.2,8438508.0,11,4,9,6,28,6
11.6,4,1.39,5361876.0,5,1,35,42,3,47
15.6,16,2.5,15107508.0,16,4,9,94,4,68
17.3,4,2.8,4703868.0,11,4,9,50,25,42
15.6,8,2.29,4081428.0,11,4,1,52,9,42
13.3,8,1.37,18006300.0,11,1,14,89,28,48
14.0,8,1.7,13106808.0,11,4,16,70,16,49
12.5,8,1.34,14849640.0,5,1,8,68,16,48
15.6,8,2.06,15676596.0,5,6,8,94,16,97
15.6,8,1.84,10839348.0,8,4,9,89,16,48
15.6,4,2.1,5944124.16,8,4,1,53,25,48
14.0,4,1.6,2925468.0,1,4,9,38,22,38
17.3,16,4.14,19553508.0,12,2,9,85,4,84
15.6,4,2.18,4134780.0,5,4,1,50,9,19
15.6,16,1.8,20442708.0,12,2,7,94,19,72
15.6,8,2.2,12439908.0,17,4,16,81,16,42
15.6,6,2.4,5015088.0,11,4,9,68,9,48
15.6,8,2.0,11550708.0,11,1,14,94,16,49
14.0,4,1.6,3103308.0,1,4,1,102,1,37
15.6,32,2.5,43561908.0,11,4,13,106,12,95
15.6,16,2.59,7816156.92,5,2,9,84,9,81
15.6,4,2.18,3947158.8,5,4,1,48,9,42
15.6,4,2.25,3192228.0,5,4,1,48,9,42
15.6,4,1.93,7727148.0,5,4,1,71,25,48
17.3,8,3.0,10385856.0,3,2,9,94,4,68
15.6,4,2.18,5059548.0,5,4,9,68,3,19
15.6,8,1.84,12350988.0,8,5,9,89,28,48
15.6,16,2.94,20165811.12,12,2,9,94,17,73
11.6,4,1.25,3370068.0,1,1,28,37,22,36
14.0,8,2.31,9994608.0,8,4,1,71,16,48
14.0,8,1.65,13026780.0,11,4,9,62,16,42
15.6,4,2.2,6900192.0,5,4,9,76,9,6
15.6,8,2.2,7104708.0,6,4,1,68,16,48
15.6,4,1.88,8287344.0,8,4,1,62,25,42
15.6,8,2.2,7993908.0,11,4,9,89,9,60
14.0,2,1.4,2125188.0,13,4,9,28,22,35
15.6,4,2.2,4161456.0,11,4,9,68,3,48
13.3,6,1.5,5682076.92,3,1,8,68,9,48
15.6,8,2.0,16183440.0,5,4,9,94,16,68
14.0,16,1.1,16894800.0,3,5,9,89,28,48
15.6,16,2.62,13151268.0,5,2,9,94,17,69
15.6,4,1.8,7371468.0,11,4,9,76,16,55
15.6,4,2.2,5148468.0,11,4,9,50,9,61
15.6,8,2.0,3547908.0,3,4,1,35,9,38
15.6,8,1.99,8061665.04,3,4,9,70,9,68
13.3,8,1.23,16619148.0,5,5,31,76,16,55
14.0,2,1.42,2214108.0,11,4,1,34,22,36
13.3,8,1.37,15626978.64,11,1,14,89,16,48
15.6,16,2.06,21331908.0,5,4,6,94,12,68
15.6,8,2.5,9861228.0,11,2,16,94,4,70
17.0,8,2.6,4631842.8,8,4,3,14,9,16
14.0,16,1.14,21785400.0,11,5,16,89,28,48
15.6,8,2.5,10394748.0,3,2,16,94,9,69
15.6,4,2.4,4001400.0,1,4,1,50,25,42
14.0,4,1.43,2436408.0,11,4,1,34,22,35
14.0,8,1.8,8171748.0,1,5,16,68,16,34
14.0,16,1.95,23110308.0,15,2,9,94,16,72
13.3,8,1.2,10785996.0,17,4,9,62,16,42
12.5,8,1.36,14084928.0,11,5,16,89,16,48
17.3,32,3.8,24888708.0,3,2,16,85,28,75
15.6,8,2.4,6304428.0,1,2,9,70,9,68
