CPU,RAM (GB),Storage,GPU,Price (Sonic Rings),CPULabel,StorageLabel,GPULabel
Intel Core i5 2.3GHz,8,128GB SSD,Intel Iris Plus Graphics 640,11912523.48,59,3,52
Intel Core i5 1.8GHz,8,128GB Flash Storage,Intel HD Graphics 6000,7993374.48,57,1,46
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,5112900.0,68,16,48
Intel Core i7 2.7GHz,16,512GB SSD,AMD Radeon Pro 455,22563005.4,78,28,8
Intel Core i5 3.1GHz,8,256GB SSD,Intel Iris Plus Graphics 650,16037611.2,61,16,53
AMD A9-Series 9420 3GHz,4,500GB HDD,AMD Radeon R5,3556800.0,14,25,16
Intel Core i7 2.2GHz,16,256GB Flash Storage,Intel Iris Pro Graphics,19028613.24,77,15,54
Intel Core i5 1.8GHz,8,256GB Flash Storage,Intel HD Graphics 6000,10303160.4,57,15,46
Intel Core i7 8550U 1.8GHz,16,512GB SSD,Nvidia GeForce MX150,13293540.0,98,28,90
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,6846840.0,76,16,55
Intel Core i5 7200U 2.5GHz,4,500GB HDD,Intel HD Graphics 620,3502558.8,68,25,48
Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,3067651.08,50,25,42
Intel Core i7 2.8GHz,16,256GB SSD,AMD Radeon Pro 555,21696213.24,79,16,9
Intel Core i3 6006U 2GHz,4,256GB SSD,AMD Radeon R5 M430,4436218.8,50,16,21
Intel Core M m3 1.2GHz,8,256GB SSD,Intel HD Graphics 615,11225260.8,45,16,47
Intel Core i5 2.3GHz,8,256GB SSD,Intel Iris Plus Graphics 640,13502946.6,59,16,52
Intel Core i7 7500U 2.7GHz,8,256GB SSD,AMD Radeon R5 M430,6624540.0,89,16,21
Intel Core i7 2.9GHz,16,512GB SSD,AMD Radeon Pro 560,25413336.0,80,28,10
Intel Core i3 7100U 2.4GHz,8,1TB HDD,Nvidia GeForce 940MX,4437108.0,53,9,66
Intel Core i5 8250U 1.6GHz,8,128GB SSD,Intel UHD Graphics 620,8705268.0,76,3,55
Intel Atom x5-Z8350 1.44GHz,2,32GB Flash Storage,Intel HD Graphics 400,1706374.8,28,22,36
Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,8883108.0,70,4,68
AMD E-Series E2-9000e 1.5GHz,4,500GB HDD,AMD Radeon R2,2294136.0,21,25,11
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,7282548.0,76,16,55
Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel HD Graphics 620,5859828.0,98,16,48
Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,3722546.88,50,9,42
Intel Core i5 1.6GHz,8,128GB Flash Storage,Intel HD Graphics 6000,9772308.0,56,1,46
Intel Core i5 8250U 1.6GHz,8,256GB SSD,AMD Radeon 530,7113600.0,76,16,6
Intel Core i7 8650U 1.9GHz,8,256GB SSD +  256GB SSD,Intel UHD Graphics 620,11541816.0,99,18,55
Intel Core i5 8250U 1.6GHz,8,1TB HDD,Nvidia GeForce 930MX,7967232.0,76,9,63
Intel Atom x5-Z8300 1.44GHz,4,64GB Flash Storage,Intel HD Graphics,2178451.08,27,33,35
AMD E-Series E2-6110 1.5GHz,2,32GB Flash Storage,AMD Radeon R2,1769508.0,19,22,11
AMD A6-Series 9220 2.5GHz,4,500GB HDD,AMD Radeon 530,3903588.0,9,25,6
Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,16619148.0,98,28,55
Intel Core i5 1.6GHz,8,256GB Flash Storage,Intel HD Graphics 6000,8874216.0,56,15,46
Intel Celeron Dual Core N3350 1.1GHz,4,64GB Flash Storage,Intel HD Graphics 500,2214108.0,35,33,38
Intel Core i3 7130U 2.7GHz,4,1TB HDD,Intel HD Graphics 620,3263364.0,54,9,48
Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,AMD Radeon 530,8705268.0,76,4,6
Intel Core i5 7200U 2.5GHz,4,1TB HDD,Intel HD Graphics 620,4345431.48,68,9,48
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce 930MX ,7816068.0,76,16,64
Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 620,3458988.0,50,9,48
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,13329108.0,94,17,72
Intel Core i5 7200U 2.5GHz,8,1TB HDD,Nvidia GeForce 940MX,4650427.08,68,9,66
Intel Core i5 8250U 1.6GHz,4,256GB SSD,Intel UHD Graphics 620,6064344.0,76,16,55
Intel Core i5 8250U 1.6GHz,12,1TB HDD,Nvidia GeForce 150MX,8883108.0,76,9,57
Intel Core i5 2.0GHz,8,256GB SSD,Intel Iris Graphics 540,12617748.0,58,16,50
Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,3281148.0,50,3,42
AMD Ryzen 1700 3GHz,8,256GB SSD +  1TB HDD,AMD Radeon RX 580,11550708.0,25,17,33
Intel Core i5 7200U 2.5GHz,4,256GB SSD,AMD Radeon R5 M430,5681988.0,68,16,21
Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,Nvidia GeForce 920MX,4143672.0,103,9,60
Intel Atom x5-Z8550 1.44GHz,4,64GB Flash Storage,Intel HD Graphics 400,2836548.0,29,33,36
Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce MX150,7478172.0,98,16,90
AMD A6-Series 9220 2.5GHz,4,256GB SSD,AMD Radeon R4 Graphics,3543373.08,9,16,15
Intel Core i7 8550U 1.8GHz,8,512GB SSD,Intel UHD Graphics 620,9807876.0,98,28,55
Intel Core i3 7100U 2.4GHz,4,1TB HDD,Intel HD Graphics 620,3414528.0,53,9,48
Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 520,6827277.6,98,16,5
Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,3903588.0,50,3,42
Intel Core i5 7200U 2.5GHz,4,256GB SSD,Intel HD Graphics 620,5212401.48,68,16,48
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,21776508.0,94,19,73
Intel Core i3 6006U 2GHz,4,256GB SSD,Intel HD Graphics 520,3690180.0,50,16,42
Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,AMD Radeon 530,11550708.0,98,19,6
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,7816068.0,76,16,55
Intel Core i3 7130U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,5326308.0,54,16,48
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,8367372.0,76,16,55
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,6135480.0,68,16,48
Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1050 Ti,17632836.0,94,28,69
Intel Core i3 6006U 2GHz,4,500GB HDD,AMD Radeon 520,3900831.48,50,25,5
Intel Celeron Dual Core N3060 1.6GHz,4,32GB SSD,Intel HD Graphics 400,2036268.0,34,24,36
Intel Core i5 7200U 2.5GHz,4,1TB HDD,Intel HD Graphics 620,4881708.0,68,9,48
Intel Core i7 7700HQ 2.8GHz,12,1TB HDD,Nvidia GeForce GTX 1050 Ti,8438508.0,94,9,69
Intel Core i5 7200U 2.5GHz,4,128GB SSD,Intel HD Graphics 620,9683388.0,68,3,48
Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 530,8491860.0,98,16,6
Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 530,7736040.0,98,16,6
Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,9736740.0,70,4,68
Intel Core i3 6006U 2GHz,8,1TB HDD,Intel HD Graphics 520,3458988.0,50,9,42
Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia GeForce GTX 1050,8438508.0,94,9,68
Intel Core i5 7200U 2.5GHz,8,2TB HDD,Intel HD Graphics 620,4614948.0,68,21,48
Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,Intel UHD Graphics 620,7602660.0,98,4,55
Intel Core i3 7130U 2.7GHz,4,1TB HDD,Nvidia GeForce MX130,4712760.0,54,9,89
Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,8687484.0,76,4,63
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,9747054.72,76,16,55
Intel Core i5 1.3GHz,8,512GB SSD,Intel HD Graphics 615,13426920.0,55,28,47
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel HD Graphics 620,7647120.0,76,16,48
AMD A6-Series 9220 2.5GHz,4,128GB SSD,AMD R4 Graphics,3547908.0,9,3,4
AMD A9-Series 9420 3GHz,4,1TB HDD,AMD Radeon R5,3512340.0,14,9,16
Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,11995308.0,94,4,69
Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce GTX 940MX,6215508.0,98,16,78
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,5326219.08,68,16,48
Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,12884508.0,94,4,72
Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,14662908.0,98,16,55
AMD FX 9830P 3GHz,8,1TB HDD,AMD Radeon RX 560,6215508.0,23,9,32
Intel Core i7 8550U 1.8GHz,8,1TB HDD,Nvidia GeForce MX150,6126588.0,98,9,90
Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,10643724.0,98,28,55
Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia GeForce GTX 1060,10625940.0,70,16,72
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,9327708.0,89,16,48
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,7531524.0,76,16,55
Intel Core i7 7500U 2.7GHz,8,1TB HDD,AMD Radeon R5 M430,5334310.8,89,9,21
Intel Core i3 6006U 2GHz,4,256GB SSD,AMD Radeon R5 M430,4312620.0,50,16,21
Intel Core i3 7100U 2.4GHz,6,256GB SSD,Nvidia GeForce 920M,5130684.0,53,16,59
Intel Core i7 7700HQ 2.8GHz,12,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,11106108.0,94,4,68
Intel Core i7 7500U 2.7GHz,8,256GB SSD,AMD Radeon 530,6393348.0,89,16,6
AMD E-Series E2-9000e 1.5GHz,4,500GB HDD,AMD Radeon R2,3103308.0,21,25,11
Intel Core i5 8250U 1.6GHz,8,1TB HDD,AMD Radeon 520,5753124.0,76,9,5
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce MX150,9950148.0,89,16,90
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,11915280.0,68,16,48
Intel Core i5 7200U 2.5GHz,6,256GB SSD,Nvidia GeForce 940MX,5859828.0,68,16,66
Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,3689290.8,50,9,42
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce 940MX,10608156.0,89,16,66
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,11550708.0,94,17,69
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,13160160.0,89,16,48
Intel Core i7 8550U 1.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce MX150,11221704.0,98,17,90
Intel Core i7 7560U 2.4GHz,8,256GB SSD,Intel Iris Plus Graphics 640,12262068.0,90,16,52
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,12439908.0,68,16,48
Intel Core i5 8250U 1.6GHz,4,500GB HDD,Intel UHD Graphics 620,6420024.0,76,25,55
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,14485068.0,76,16,55
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,12439819.08,76,16,55
Intel Core i7 8550U 1.8GHz,8,512GB SSD,Intel UHD Graphics 620,9638928.0,98,28,55
Intel Core i7 8550U 1.8GHz,8,256GB SSD +  1TB HDD,Nvidia GeForce 940MX,10050894.36,98,17,66
Intel Core i3 6006U 2GHz,4,1TB HDD,Nvidia GeForce 920MX,5015088.0,50,9,60
Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce 940MX,9941256.0,98,16,66
Intel Core i3 7100U 2.4GHz,6,1TB HDD,Intel HD Graphics 620,4259268.0,53,9,48
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,19931418.0,94,19,73
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Nvidia GeForce 940MX,5593068.0,68,16,66
Intel Core i7 8550U 1.8GHz,16,512GB SSD,Nvidia GeForce 930MX ,11301732.0,98,28,64
AMD A9-Series 9420 3GHz,4,256GB SSD,AMD Radeon R5,4010292.0,14,16,16
Intel Celeron Dual Core N3060 1.6GHz,4,500GB HDD,Intel HD Graphics 400,2303028.0,34,25,36
Intel Core i5 8250U 1.6GHz,8,1TB HDD,Intel UHD Graphics 620,7220304.0,76,9,55
AMD E-Series 6110 1.5GHz,4,64GB SSD,AMD Radeon R2,2471887.08,16,35,11
Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,AMD Radeon 530,12413232.0,98,19,6
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,8251776.0,76,16,55
Intel Core i5 7200U 2.5GHz,8,1TB HDD,AMD Radeon R7 M445,5681899.08,68,9,26
Intel Core i3 6006U 2GHz,4,1TB HDD,AMD Radeon R5 M430,3992508.0,50,9,21
Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,7860528.0,98,16,55
Intel Core i3 7130U 2.7GHz,4,256GB SSD,Nvidia GeForce MX130,5086224.0,54,16,89
Intel Core i7 7500U 2.7GHz,8,1TB HDD,Intel HD Graphics 620,5317416.0,89,9,48
Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,8785296.0,98,16,55
Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Intel HD Graphics 500,2243985.12,35,9,38
Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,8340696.0,70,4,68
Intel Core i5 7200U 2.5GHz,4,1TB HDD,Nvidia GeForce 920MX,4437108.0,68,9,60
Intel Core i5 7200U 2.5GHz,4,256GB SSD,Intel HD Graphics 620,6215508.0,68,16,48
Intel Core i3 7130U 2.7GHz,4,1TB HDD,Nvidia GeForce MX130,5824260.0,54,9,89
Intel Core i5 8250U 1.6GHz,8,256GB SSD,AMD Radeon RX 550,9923649.84,76,16,31
Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia GeForce GTX 1050M,7727148.0,94,16,70
Intel Core i5 6200U 2.3GHz,4,500GB HDD,Intel HD Graphics 520,5352984.0,62,25,42
AMD A6-Series 9220 2.5GHz,4,256GB SSD,AMD Radeon R4 Graphics,3281148.0,9,16,15
Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,9772308.0,98,16,55
Intel Core M 6Y75 1.2GHz,8,512GB SSD,Intel HD Graphics 515,17908488.0,41,28,41
Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Intel HD Graphics 500,3058848.0,35,9,38
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,18041868.0,94,17,73
Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,3974724.0,50,9,42
Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1050,11108419.92,94,28,68
Intel Core i7 7700HQ 2.8GHz,8,1TB Hybrid,Nvidia GeForce GTX 1050,7993908.0,94,11,68
Intel Core i5 7200U 2.5GHz,4,128GB SSD,Intel HD Graphics 620,4428216.0,68,3,48
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,16805880.0,94,17,72
Intel Core i5 7500U 2.7GHz,4,256GB SSD,Intel HD Graphics 620,9621144.0,73,16,48
Intel Core i5 8250U 1.6GHz,6,256GB SSD,AMD Radeon 520,5504148.0,76,16,5
Intel Core i3 7100U 2.4GHz,4,256GB SSD,Intel HD Graphics 620,5593068.0,53,16,48
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel HD Graphics 620,11692980.0,76,16,48
Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,9327708.0,98,16,55
Intel Core i3 6006U 2.2GHz,4,500GB HDD,Intel HD Graphics 520,3974724.0,49,25,42
AMD A9-Series 9420 3GHz,4,1TB HDD,AMD Radeon R5 M420,3583476.0,14,9,19
Intel Core i5 8250U 1.6GHz,4,256GB SSD,Nvidia GeForce MX150,7158060.0,76,16,90
Intel Core i5 8250U 1.6GHz,8,256GB SSD,AMD Radeon 520,6473376.0,76,16,5
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD,Nvidia GeForce GTX 1050 Ti,9594468.0,94,16,69
Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Intel HD Graphics 500,3094416.0,35,9,38
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,15996708.0,94,17,72
Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,Intel HD Graphics 505,3232330.92,103,9,39
Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,9429877.08,94,4,68
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce MX150,7593768.0,76,16,90
Intel Core i5 8250U 1.6GHz,4,500GB HDD,Intel UHD Graphics 620,6704568.0,76,25,55
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,11995308.0,68,16,48
Intel Core i5 7200U 2.5GHz,6,2TB HDD,AMD Radeon 520,6215508.0,68,21,5
AMD A6-Series 9220 2.9GHz,4,500GB HDD,AMD Radeon R4 Graphics,2747628.0,10,25,15
Intel Core i3 7100U 2.4GHz,4,500GB HDD,Intel HD Graphics 620,4348188.0,53,25,48
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce 930MX,8207316.0,76,16,63
Intel Core i3 7100U 2.4GHz,8,1TB HDD,Intel HD Graphics 620,4081428.0,53,9,48
Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,3992508.0,50,3,42
Intel Core i7 6920HQ 2.9GHz,32,512GB SSD +  1TB HDD,Nvidia GTX 980 SLI,24888708.0,87,29,56
Intel Core i5 7200U 2.5GHz,8,128GB SSD +  1TB HDD,AMD R17M-M1-70,7229196.0,68,4,3
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,13329108.0,76,16,55
Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,AMD Radeon 530,9327708.0,98,19,6
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,12439908.0,76,16,55
Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,16441308.0,98,28,55
Intel Core i5 7200U 2.5GHz,8,128GB SSD,Intel HD Graphics 620,7051356.0,68,3,48
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce MX150,10661508.0,76,16,90
Intel Core i7 8550U 1.8GHz,16,512GB SSD,Nvidia GeForce 150MX,13773708.0,98,28,57
Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1050,21314124.0,94,28,68
Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia GeForce GTX 1050,6926868.0,70,16,68
Intel Core i5 7Y54 1.2GHz,8,256GB SSD,Intel HD Graphics 615,8794188.0,74,16,47
Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,AMD Radeon 530,9647820.0,98,4,6
Intel Core i7 7500U 2.7GHz,16,1TB SSD,Intel HD Graphics 620,25111008.0,89,12,48
Intel Celeron Dual Core N3350 1.1GHz,4,32GB Flash Storage,Intel HD Graphics 500,2311920.0,35,22,38
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Nvidia GeForce MX150,8891110.8,68,16,90
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce MX150,6206616.0,76,16,90
Intel Core i7 8550U 1.8GHz,8,1TB HDD,Intel UHD Graphics 620,7460388.0,98,9,55
Intel Core i5 8250U 1.6GHz,8,1TB HDD,Nvidia GeForce 930MX,8127288.0,76,9,63
Intel Core i7 7820HK 2.9GHz,32,1TB SSD,Nvidia GeForce GTX 1080,54232308.0,95,12,75
Intel Core i5 8250U 1.6GHz,8,512GB SSD,Intel UHD Graphics 620,8527428.0,76,28,55
