CPU,RAM (GB),Storage,GPU,Price (Sonic Rings),CPULabel,StorageLabel,GPULabel
Intel Core i7 8550U 1.8GHz,12,1TB HDD,Intel HD Graphics 620,5415228.0,98,9,48
Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,15738840.0,70,4,72
Intel Core i5 7200U 2.5GHz,8,1TB HDD,Intel HD Graphics 520,6571188.0,68,9,42
AMD A12-Series 9720P 3.6GHz,12,512GB SSD,AMD Radeon 530,8438508.0,6,28,6
Intel Core M 7Y30 1.0GHz,4,128GB SSD,Intel HD Graphics 615,5361876.0,42,3,47
Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,15107508.0,94,4,68
Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,4703868.0,50,25,42
Intel Core i3 6100U 2.3GHz,8,1TB HDD,Intel HD Graphics 520,4081428.0,52,9,42
Intel Core i7 7500U 2.7GHz,8,512GB SSD,Intel HD Graphics 620,18006300.0,89,28,48
Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Intel HD Graphics 630,13106808.0,70,16,49
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,14849640.0,68,16,48
Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia Quadro M620,15676596.0,94,16,97
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,10839348.0,89,16,48
Intel Core i3 7100U 2.4GHz,4,500GB HDD,Intel HD Graphics 620,5944124.16,53,25,48
Intel Celeron Quad Core N3450 1.1GHz,4,32GB Flash Storage,Intel HD Graphics 500,2925468.0,38,22,38
Intel Core i7 6820HK 2.7GHz,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 970M,19553508.0,85,4,84
Intel Core i3 6006U 2GHz,4,1TB HDD,AMD Radeon R5 M420,4134780.0,50,9,19
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1060,20442708.0,94,19,72
Intel Core i7 6500U 2.5GHz,8,256GB SSD,Intel HD Graphics 520,12439908.0,81,16,42
Intel Core i5 7200U 2.5GHz,6,1TB HDD,Intel HD Graphics 620,5015088.0,68,9,48
Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Intel HD Graphics 630,11550708.0,94,16,49
Intel Pentium Quad Core N3710 1.6GHz,4,128GB Flash Storage,Intel HD Graphics 405,3103308.0,102,1,37
Intel Xeon E3-1535M v6 3.1GHz,32,1TB SSD,Nvidia Quadro M2200M,43561908.0,106,12,95
Intel Core i7 6700HQ 2.6GHz,16,1TB HDD,Nvidia GeForce GTX 960<U+039C>,7816156.92,84,9,81
Intel Core i3 6006U 2.0GHz,4,1TB HDD,Intel HD Graphics 520,3947158.8,48,9,42
Intel Core i3 6006U 2.0GHz,4,1TB HDD,Intel HD Graphics 520,3192228.0,48,9,42
Intel Core i5 7300U 2.6GHz,4,500GB HDD,Intel HD Graphics 620,7727148.0,71,25,48
Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,10385856.0,94,4,68
Intel Core i5 7200U 2.5GHz,4,128GB SSD,AMD Radeon R5 M420,5059548.0,68,3,19
Intel Core i7 7500U 2.7GHz,8,512GB SSD,Intel HD Graphics 620,12350988.0,89,28,48
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,20165811.12,94,17,73
Intel Celeron Quad Core N3160 1.6GHz,4,32GB Flash Storage,Intel HD Graphics 400,3370068.0,37,22,36
Intel Core i5 7300U 2.6GHz,8,256GB SSD,Intel HD Graphics 620,9994608.0,71,16,48
Intel Core i5 6200U 2.3GHz,8,256GB SSD,Intel HD Graphics 520,13026780.0,62,16,42
Intel Core i5 8250U 1.6GHz,4,1TB HDD,AMD Radeon 530,6900192.0,76,9,6
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,7104708.0,68,16,48
Intel Core i5 6200U 2.3GHz,4,500GB HDD,Intel HD Graphics 520,8287344.0,62,25,42
Intel Core i7 7500U 2.7GHz,8,1TB HDD,Nvidia GeForce 920MX,7993908.0,89,9,60
Intel Atom x5-Z8350 1.44GHz,2,32GB Flash Storage,Intel HD Graphics,2125188.0,28,22,35
Intel Core i5 7200U 2.5GHz,4,128GB SSD,Intel HD Graphics 620,4161456.0,68,3,48
Intel Core i5 7200U 2.5GHz,6,1TB HDD,Intel HD Graphics 620,5682076.92,68,9,48
Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia GeForce GTX 1050,16183440.0,94,16,68
Intel Core i7 7500U 2.7GHz,16,512GB SSD,Intel HD Graphics 620,16894800.0,89,28,48
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,13151268.0,94,17,69
Intel Core i5 8250U 1.6GHz,4,256GB SSD,Intel UHD Graphics 620,7371468.0,76,16,55
Intel Core i3 6006U 2GHz,4,1TB HDD,Nvidia GeForce 920MX ,5148468.0,50,9,61
Intel Celeron Dual Core N3350 1.1GHz,8,1TB HDD,Intel HD Graphics 500,3547908.0,35,9,38
Intel Core i5 7300HQ 2.5GHz,8,1TB HDD,Nvidia GeForce GTX 1050,8061665.04,70,9,68
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,16619148.0,76,16,55
Intel Celeron Dual Core N3060 1.6GHz,2,32GB Flash Storage,Intel HD Graphics 400,2214108.0,34,22,36
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,15626978.64,89,16,48
Intel Core i7 7700HQ 2.8GHz,16,1TB SSD,Nvidia GeForce GTX 1050,21331908.0,94,12,68
Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050M,9861228.0,94,4,70
AMD A9-Series 9420 3GHz,8,1TB HDD,AMD Radeon R5,4631842.8,14,9,16
Intel Core i7 7500U 2.7GHz,16,512GB SSD,Intel HD Graphics 620,21785400.0,89,28,48
Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia GeForce GTX 1050 Ti,10394748.0,94,9,69
Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,4001400.0,50,25,42
Intel Celeron Dual Core N3060 1.6GHz,4,32GB Flash Storage,Intel HD Graphics,2436408.0,34,22,35
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel Graphics 620,8171748.0,68,16,34
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD,Nvidia GeForce GTX 1060,23110308.0,94,16,72
Intel Core i5 6200U 2.3GHz,8,256GB SSD,Intel HD Graphics 520,10785996.0,62,16,42
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,14084928.0,89,16,48
Intel Core i7 6820HK 2.7GHz,32,512GB SSD,Nvidia GeForce GTX 1080,24888708.0,85,28,75
Intel Core i5 7300HQ 2.5GHz,8,1TB HDD,Nvidia GeForce GTX 1050,6304428.0,70,9,68
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,12892510.8,76,16,55
Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,10597485.6,94,4,69
Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,3244690.8,50,25,42
Intel Core i5 7200U 2.5GHz,8,500GB HDD,Intel HD Graphics 620,9461088.0,68,25,48
Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 530,8171748.0,98,16,6
Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,AMD Radeon 530,10092420.0,98,19,6
Intel Core i7 6700HQ 2.6GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960,10634832.0,84,4,80
Intel Core i7 7700HQ 2.8GHz,32,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,27986414.04,94,29,73
Intel Core i5 6300U 2.4GHz,8,256GB SSD,Intel HD Graphics 520,10928268.0,65,16,42
Intel Celeron Dual Core N3350 1.1GHz,4,500GB HDD,Intel HD Graphics 500,3725748.0,35,25,38
Intel Core i5 6200U 2.3GHz,4,500GB HDD,Intel HD Graphics 520,4757220.0,62,25,42
Intel Core i3 6006U 2GHz,6,1TB HDD,AMD Radeon R5 M430,4792788.0,50,9,21
Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,13220358.84,94,4,72
Intel Core i3 6100U 2.1GHz,4,128GB SSD,Intel HD Graphics 520,4428216.0,51,3,42
Intel Core i5 7200U 2.5GHz,8,1TB HDD,Intel HD Graphics 620,8491860.0,68,9,48
Intel Core i7 7500U 2.7GHz,8,1TB HDD,AMD Radeon 530,6624540.0,89,9,6
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,11186136.0,68,16,48
Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,3663504.0,50,3,42
Intel Core i7 7600U 2.8GHz,8,256GB SSD,Intel Iris Plus Graphics 640,16608922.2,91,16,52
Intel Core i5 7200U 2.5GHz,8,128GB SSD +  1TB HDD,AMD Radeon R5 M430,7273211.4,68,4,21
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,9194328.0,68,16,48
AMD E-Series E2-9000 2.2GHz,4,128GB SSD,AMD Radeon R2 Graphics,3103308.0,20,3,12
Intel Core i3 7100U 2.4GHz,4,128GB SSD,Nvidia GeForce 940MX,6215508.0,53,3,66
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,11506248.0,94,17,68
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,10092420.0,68,16,48
Intel Celeron Dual Core N3350 1.1GHz,8,64GB Flash Storage,Intel HD Graphics 500,4401540.0,35,33,38
Intel Core i7 8550U 1.8GHz,8,512GB SSD,Intel HD Graphics 620,20442708.0,98,28,48
Intel Core i5 7300HQ 2.5GHz,16,256GB SSD,Nvidia GeForce GTX 1050 Ti,11550708.0,70,16,69
Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia GeForce GTX 1050,8873326.8,70,16,68
Intel Celeron Dual Core N3350 1.1GHz,4,128GB SSD,Intel HD Graphics 500,3725748.0,35,3,38
Intel Core i5 7300HQ 2.5GHz,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,18237492.0,70,4,72
Intel Core i3 6006U 2GHz,4,256GB SSD,AMD Radeon R5 520,6215508.0,50,16,18
Intel Core i7 8550U 1.8GHz,8,512GB SSD,Intel UHD Graphics 620,13329108.0,98,28,55
Intel Core i7 7820HK 2.9GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,25019865.0,95,17,73
Intel Core i5 7200U 2.5GHz,4,500GB HDD,AMD Radeon 520,5447328.12,68,25,5
Intel Core i3 6006U 2GHz,4,1TB HDD,AMD Radeon R5 M430,4852097.64,50,9,21
AMD A10-Series 9600P 2.4GHz,6,2TB HDD,AMD Radeon R7 M440,5059548.0,1,21,25
Intel Celeron Dual Core 3855U 1.6GHz,4,500GB HDD,Intel HD Graphics 510,2827656.0,31,25,40
Intel Celeron Dual Core 3855U 1.6GHz,4,32GB Flash Storage,Intel HD Graphics 510,3334500.0,31,22,40
Intel Core i5 7200U 2.5GHz,4,256GB SSD,Intel HD Graphics 620,6215508.0,68,16,48
Intel Core i7 7700HQ 2.8GHz,8,500GB HDD,Nvidia Quadro M1200,16965847.08,94,25,92
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,23030280.0,89,16,48
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,8651916.0,68,16,48
Intel Celeron Dual Core N3050 1.6GHz,4,32GB Flash Storage,Intel HD Graphics,2391948.0,32,22,35
Intel Core i7 7500U 2.7GHz,16,512GB SSD,Intel HD Graphics 620,15552108.0,89,28,48
Intel Core M M3-6Y30 0.9GHz,4,64GB Flash Storage,Intel HD Graphics 515,5948748.0,43,33,41
Intel Core i7 6500U 2.5GHz,16,512GB SSD,Intel HD Graphics 520,16690284.0,81,28,42
Intel Core i7 7500U 2.7GHz,4,500GB HDD,AMD Radeon 530,6126588.0,89,25,6
Intel Core i5 7300HQ 2.5GHz,8,1TB HDD,Nvidia GeForce GTX 1050,7282548.0,70,9,68
AMD A9-Series 9420 2.9GHz,4,256GB SSD,AMD Radeon 530,3547908.0,13,16,6
AMD A12-Series 9720P 3.6GHz,8,1TB HDD,AMD Radeon R7,3814668.0,6,9,22
Intel Core i5 7200U 2.5GHz,4,1TB HDD +  1TB HDD,Intel HD Graphics 620,5525933.4,68,10,48
Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,4001400.0,50,25,42
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,7069140.0,68,16,48
Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,8883108.0,76,16,55
Intel Core i7 6500U 2.5GHz,16,512GB SSD,Nvidia Quadro M520M,16494660.0,81,28,96
Intel Core i5 6300HQ 2.3GHz,8,256GB SSD,Intel HD Graphics 520,10590372.0,64,16,42
AMD A10-Series 9620P 2.5GHz,6,2TB HDD,AMD Radeon 530,5824348.92,2,21,6
Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,11106108.0,94,4,69
Intel Core i5 7440HQ 2.8GHz,8,256GB SSD,Nvidia GeForce 930MX,9683388.0,72,16,63
Intel Core i5 7200U 2.5GHz,8,1TB HDD,Intel HD Graphics 620,6455592.0,68,9,48
Intel Celeron Dual Core N3350 1.1GHz,4,32GB Flash Storage,Intel HD Graphics 500,2649816.0,35,22,38
Intel Core i5 7300U 2.6GHz,16,512GB SSD,Intel HD Graphics 620,12685860.72,71,28,48
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Nvidia GeForce 920MX,7621066.44,68,16,60
Intel Core i5 7300U 2.6GHz,8,256GB SSD,Intel HD Graphics 620,10483668.0,71,16,48
AMD A6-Series 7310 2GHz,4,500GB HDD,AMD Radeon R4,2649816.0,8,25,14
Intel Atom Z8350 1.92GHz,4,32GB HDD,Intel HD Graphics 400,2356380.0,26,23,36
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce 930MX,10670400.0,89,16,63
Intel Core i7 6500U 2.5GHz,8,512GB SSD,Intel HD Graphics 520,14997602.88,81,28,42
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,7439047.2,68,16,48
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,13329108.0,68,16,48
Intel Core i7 7700HQ 2.8GHz,32,1TB SSD +  1TB HDD,Nvidia GeForce GTX 1070,32539384.8,94,13,73
Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,11990684.16,94,4,69
Intel Core i5 7200U 2.5GHz,4,1TB HDD,Intel HD Graphics 620,4356190.8,68,9,48
Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,AMD Radeon 530,6393348.0,76,4,6
Intel Core i3 7100U 2.4GHz,4,1TB HDD,Intel HD Graphics 620,5770908.0,53,9,48
Intel Core i5 7200U 2.5GHz,8,1TB HDD,AMD Radeon R7 M445,5242011.84,68,9,26
AMD A9-Series 9420 3GHz,4,1TB HDD,AMD Radeon 520,4348188.0,14,9,5
Intel Core i7 6700HQ 2.6GHz,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,17206020.0,84,4,72
Intel Core i5 7200U 2.5GHz,12,1TB HDD,Intel HD Graphics 620,5770908.0,68,9,48
AMD A9-Series A9-9420 3GHz,6,128GB SSD +  1TB HDD,AMD Radeon 520,5779800.0,15,4,5
Intel Core i5 7200U 2.5GHz,4,500GB HDD,Intel HD Graphics 620,4970628.0,68,25,48
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,8536320.0,68,16,48
Intel Core i7 7500U 2.7GHz,4,1TB HDD,Intel HD Graphics 620,6926868.0,89,9,48
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD,Nvidia Quadro M2200,21509748.0,94,16,94
Intel Core i5 8250U 1.6GHz,8,1TB HDD,Intel UHD Graphics 620,5859828.0,76,9,55
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,18624116.16,94,17,72
Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,3652833.6,50,25,42
Intel Core i7 7500U 2.7GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,10732644.0,89,4,66
Intel Core i3 6006U 2GHz,8,256GB SSD,Intel HD Graphics 520,5913180.0,50,16,42
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,13649220.0,68,16,48
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,8883108.0,68,16,48
Intel Core i7 7600U 2.8GHz,16,1TB SSD,Nvidia Quadro M520M,29334708.0,91,12,96
Intel Celeron Dual Core N3060 1.6GHz,2,32GB Flash Storage,Intel HD Graphics 400,2934360.0,34,22,36
Intel Core i7 7500U 2.7GHz,16,256GB SSD,Intel HD Graphics 620,14662908.0,89,16,48
Intel Core i3 6006U 2GHz,8,256GB SSD,Intel HD Graphics 520,4792788.0,50,16,42
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,10018705.32,68,16,48
Intel Xeon E3-1535M v5 2.9GHz,16,256GB SSD,Nvidia Quadro M2000M,39026988.0,105,16,93
Intel Celeron Dual Core N3060 1.6GHz,4,128GB SSD,Intel HD Graphics 400,4223700.0,34,3,36
Intel Core i5 6300U 2.4GHz,8,256GB SSD,Intel HD Graphics 520,16894800.0,65,16,42
Intel Core i5 6300HQ 2.3GHz,4,1TB HDD,Nvidia GeForce GTX 950M,5148468.0,64,9,79
Intel Core i5 6200U 2.3GHz,4,1GB SSD,Intel HD Graphics 520,9745632.0,62,8,42
Intel Core i7 7500U 2.7GHz,4,256GB SSD,Intel HD Graphics 620,7557310.8,89,16,48
Intel Core i5 6260U 1.8GHz,8,256GB SSD,Intel HD Graphics 540,10661508.0,63,16,45
Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,9772308.0,70,4,68
Intel Core i7 6700HQ 2.6GHz,8,256GB SSD,Nvidia Quadro M1000M,13880412.0,84,16,91
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,25511059.08,94,17,73
Intel Core i5 7200U 2.5GHz,4,256GB SSD,Intel HD Graphics 620,5326308.0,68,16,48
Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,9318816.0,94,4,68
Intel Core i7 7600U 2.8GHz,16,256GB SSD,Intel HD Graphics 620,16530228.0,91,16,48
Intel Core i5 7Y57 1.2GHz,8,256GB SSD,Intel HD Graphics 615,13862628.0,75,16,47
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,10039068.0,68,16,48
Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,7549308.0,50,25,42
Intel Core i5 6200U 2.3GHz,4,128GB SSD,Intel HD Graphics 520,5824260.0,62,3,42
Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,Nvidia GeForce 920MX,4182263.28,103,9,60
Intel Core i7 6700HQ 2.6GHz,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,9772308.0,84,4,82
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,14218308.0,89,16,48
Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,Intel HD Graphics 505,2649816.0,103,9,39
Intel Core i7 7500U 2.7GHz,16,256GB SSD,AMD Radeon R7 M445,10503852.84,89,16,26
Intel Core i7 7500U 2.7GHz,16,256GB SSD,AMD Radeon 540,15996708.0,89,16,7
Intel Core i5 6200U 2.3GHz,4,128GB SSD,Intel HD Graphics 520,9069840.0,62,3,42
Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia GeForce GTX 1050,9772308.0,94,9,68
Intel Core i5 6200U 2.3GHz,4,256GB SSD,Intel HD Graphics 520,11061648.0,62,16,42
Intel Core i7 7500U 2.7GHz,12,2TB HDD,Nvidia GeForce 940MX,7460388.0,89,21,66
Intel Core i7 6820HQ 2.7GHz,16,512GB SSD,Nvidia Quadro M2000M,21074040.0,86,28,93
Intel Core i3 7100U 2.4GHz,4,128GB SSD,Intel HD Graphics 620,5655312.0,53,3,48
Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1060,25777908.0,94,28,72
Intel Pentium Dual Core N4200 1.1GHz,8,128GB SSD,Intel HD Graphics 505,5174254.8,101,3,39
Intel Core i7 7700HQ 2.8GHz,32,1TB SSD +  1TB HDD,Nvidia GeForce GTX 1070M,31911609.6,94,13,74
Intel Core i7 6700HQ 2.6GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,20896200.0,84,17,73
Intel Core i7 6600U 2.6GHz,16,512GB SSD,Nvidia GeForce 930M,15685488.0,83,28,62
