CPU,RAM (GB),Storage,GPU,Price (Sonic Rings),CPULabel,StorageLabel,GPULabel
Intel Celeron Quad Core N3710 1.6GHz,8,1TB HDD,Intel HD Graphics 405,2925468.0,39,9,37
Intel Core i7 7500U 2.7GHz,16,512GB SSD,Intel HD Graphics 620,20442708.0,89,28,48
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,16814772.0,94,17,72
Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,9683388.0,70,4,68
Intel Core i7 7700HQ 2.8GHz,4,1TB HDD,Nvidia GeForce GTX 1050,8883108.0,94,9,68
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,20442708.0,94,17,72
Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia GeForce GTX 1050,8758620.0,70,16,68
Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX1060,11906388.0,94,4,87
Intel Celeron Dual Core N3350 1.1GHz,4,32GB Flash Storage,Intel HD Graphics 500,1804186.8,35,22,38
Intel Core i7 7500U 2.7GHz,8,512GB SSD,Intel HD Graphics 620,17517240.0,89,28,48
Intel Core i5 7200U 2.5GHz,8,256GB SSD,AMD Radeon R7 M460,8527428.0,68,16,27
Intel Core M 1.2GHz,8,512GB Flash Storage,Intel HD Graphics 5300,10359180.0,40,27,44
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,20718360.0,68,16,48
Intel Celeron Dual Core N3350 1.1GHz,4,32GB Flash Storage,Intel HD Graphics 500,2658708.0,35,22,38
Intel Core i5 7200U 2.5GHz,8,128GB SSD,Intel HD Graphics 620,7202520.0,68,3,48
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,11995308.0,89,16,48
Intel Core i3 6006U 2GHz,8,256GB SSD,AMD Radeon R5 M420X,6571188.0,50,16,20
Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia Quadro M2200,18361090.8,94,16,94
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,9772308.0,68,16,48
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,13329108.0,68,16,48
Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia GeForce GTX 1050,15552108.0,70,16,68
Intel Pentium Quad Core N4200 1.1GHz,4,128GB SSD,Intel HD Graphics 505,6615648.0,103,3,39
Intel Core i5 7300U 2.6GHz,8,256GB SSD,Intel HD Graphics 620,12350988.0,71,16,48
Intel Core i5 6200U 2.3GHz,4,500GB HDD,Intel HD Graphics 520,6935760.0,62,25,42
AMD A12-Series 9700P 2.5GHz,8,2TB HDD,AMD Radeon R7 Graphics,5593068.0,4,21,23
Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1050 Ti,14929668.0,94,28,69
Intel Core i5 7200U 2.5GHz,4,1TB HDD,Nvidia GeForce 920M,5415228.0,68,9,59
Intel Core i7 7700HQ 2.8GHz,12,1TB HDD,AMD Radeon RX 580,15552108.0,94,9,33
Intel Core i7 7700HQ 2.8GHz,16,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,21474180.0,94,29,73
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,13329108.0,68,16,48
Intel Core i7 7500U 2.7GHz,8,1TB HDD,Nvidia GeForce GT 940MX,8545212.0,89,9,67
Intel Core i5 7200U 2.5GHz,8,256GB SSD,AMD Radeon R5 M420,7022990.52,68,16,19
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,16530228.0,89,16,48
Intel Core i7 7500U 2.5GHz,16,512GB SSD,Intel HD Graphics 620,15996708.0,88,28,48
Intel Celeron Dual Core N3060 1.6GHz,4,16GB Flash Storage,Intel HD Graphics 400,3423420.0,34,6,36
Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,22274637.84,94,4,72
Intel Core i5 6200U 2.3GHz,4,500GB HDD,Intel HD Graphics 520,6713460.0,62,25,42
Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,4356190.8,50,25,42
Intel Core i5 7200U 2.5GHz,4,128GB SSD,Intel HD Graphics 620,9692280.0,68,3,48
Intel Core i7 7500U 2.7GHz,8,512GB SSD,Intel HD Graphics 620,22221108.0,89,28,48
Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia GeForce GTX 1050,10661508.0,70,16,68
Intel Core i5 7200U 2.5GHz,8,256GB Flash Storage,Intel HD Graphics 620,16672500.0,68,15,48
Intel Pentium Dual Core 4405U 2.1GHz,4,128GB SSD,Intel HD Graphics 510,4437108.0,100,3,40
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,12075336.0,68,16,48
Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,5201820.0,50,25,42
Intel Celeron Dual Core N3060 1.6GHz,4,32GB Flash Storage,Intel HD Graphics 400,3156660.0,34,22,36
Intel Core i3 7100U 2.4GHz,8,128GB SSD,Intel HD Graphics 620,5504148.0,53,3,48
Intel Core i7 7820HK 2.9GHz,32,512GB SSD,Nvidia GeForce GTX 1080,48897108.0,95,28,75
Intel Core i7 6600U 2.6GHz,16,512GB SSD,Intel HD Graphics 520,18664308.0,83,28,42
Intel Core i5 7200U 2.5GHz,4,1TB HDD,Nvidia GeForce 920,4614948.0,68,9,58
Intel Core i5 6200U 2.3GHz,8,256GB SSD,Intel HD Graphics 520,10545912.0,62,16,42
Intel Core i5 7300U 2.6GHz,8,256GB SSD,Intel HD Graphics 620,14671800.0,71,16,48
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,24672009.96,94,17,73
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,21509748.0,94,17,73
Intel Core i3 7100U 2.4GHz,4,500GB HDD,Intel HD Graphics 620,5948748.0,53,25,48
Intel Celeron Quad Core N3160 1.6GHz,4,16GB Flash Storage,Intel HD Graphics 400,2889900.0,37,6,36
Intel Core i5 7200U 2.5GHz,8,128GB HDD,Intel HD Graphics 620,5246280.0,68,2,48
Intel Core i7 6700HQ 2.6GHz,16,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,15996708.0,84,29,72
Intel Core i7 7700HQ 2.8GHz,32,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,27324137.88,94,29,73
Intel Core i5 7200U 2.5GHz,8,1TB HDD,Nvidia GeForce 930MX,8091720.0,68,9,63
Intel Core i5 7200U 2.5GHz,8,128GB SSD,Intel HD Graphics 620,6348799.08,68,3,48
Intel Core i7 6500U 2.5GHz,8,512GB SSD,Intel HD Graphics 520,16628040.0,81,28,42
Intel Core i7 7500U 2.7GHz,4,256GB SSD,AMD Radeon R5 M420,6571188.0,89,16,19
Intel Celeron Dual Core N3350 1.1GHz,4,32GB Flash Storage,Intel HD Graphics 500,5468580.0,35,22,38
Intel Core i5 6200U 2.3GHz,8,512GB SSD,Nvidia GeForce 940M,9123192.0,62,28,65
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,20247084.0,68,16,48
Intel Core i7 6500U 2.5GHz,8,512GB SSD,Intel HD Graphics 520,13053456.0,81,28,42
Intel Celeron Dual Core N3060 1.6GHz,4,128GB SSD,Intel HD Graphics 400,2658708.0,34,3,36
Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,16885908.0,94,4,72
Intel Core i7 7500U 2.7GHz,8,1TB HDD,AMD Radeon R7 M445,7691580.0,89,9,26
Intel Core i7 7700HQ 2.8GHz,8,256GB SSD,Nvidia GeForce GT 940MX,16921476.0,94,16,67
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce GTX 930MX,6998004.0,89,16,76
Intel Core i5 7200U 2.5GHz,8,128GB SSD,Intel HD Graphics 620,8402940.0,68,3,48
Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,Intel HD Graphics 505,3992508.0,103,9,39
Intel Core i7 7600U 2.8GHz,8,256GB SSD,Intel HD Graphics 620,22754628.0,91,16,48
Intel Core i5 6200U 2.3GHz,8,1TB HDD,Intel HD Graphics 520,5770908.0,62,9,42
Intel Core i3 6006U 2.0GHz,4,1TB HDD,Intel HD Graphics 520,4170348.0,48,9,42
Intel Core i5 7200U 2.5GHz,8,1TB HDD,Intel HD Graphics 620,7564068.72,68,9,48
Intel Core i5 7300U 2.6GHz,8,256GB SSD,AMD Radeon R7 M465,11995308.0,71,16,28
Intel Core i5 7200U 2.5GHz,4,128GB SSD,Intel HD Graphics 620,11426220.0,68,3,48
Intel Core i5 7300HQ 2.5GHz,8,1TB HDD,Nvidia GeForce GTX 1050,9043164.0,70,9,68
Intel Core i7 7660U 2.5GHz,16,512GB SSD,Intel Iris Plus Graphics 640,19918080.0,92,28,52
Intel Core i5 6200U 2.3GHz,4,500GB HDD,Intel HD Graphics 520,8091720.0,62,25,42
Intel Core i5 6200U 2.3GHz,8,256GB SSD,Intel HD Graphics 520,9736740.0,62,16,42
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,17339400.0,89,16,48
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,8020584.0,68,16,48
Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia Quadro M620,15809976.0,94,9,97
Intel Core i5 7200U 2.5GHz,4,500GB HDD,Intel HD Graphics 620,9381060.0,68,25,48
Intel Core i3 6006U 2GHz,4,1TB HDD,AMD Radeon R5 M430,4259268.0,50,9,21
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,12342096.0,89,16,48
Intel Core i3 7100U 2.4GHz,4,1GB SSD,Intel HD Graphics 620,6535620.0,53,8,48
Intel Core i7 7500U 2.7GHz,16,256GB SSD,Nvidia GeForce 940MX,16441308.0,89,16,66
Intel Core i7 7600U 2.8GHz,8,256GB SSD,Intel HD Graphics 620,15027480.0,91,16,48
Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,Intel HD Graphics 505,3547819.08,103,9,39
Intel Core i5 6200U 2.3GHz,8,256GB SSD,Nvidia GeForce 940MX,8314020.0,62,16,66
Intel Core i5 7200U 2.5GHz,4,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,8113950.0,68,4,66
Intel Core i5 7200U 2.5GHz,4,256GB SSD,Intel HD Graphics 620,7460388.0,68,16,48
Intel Core i5 7200U 2.5GHz,4,256GB SSD,Intel HD Graphics 620,15116400.0,68,16,48
Intel Core i5 7200U 2.5GHz,4,500GB HDD,Intel HD Graphics 620,6089241.6,68,25,48
Intel Celeron Dual Core N3350 1.1GHz,4,32GB Flash Storage,Intel HD Graphics 500,3094416.0,35,22,38
Intel Core i7 6500U 2.5GHz,8,1TB HDD,Nvidia GeForce 940MX,5948748.0,81,9,66
Intel Pentium Quad Core N3710 1.6GHz,4,500GB HDD,Intel HD Graphics,3281148.0,102,25,35
Intel Core i5 7200U 2.5GHz,4,256GB SSD,Intel HD Graphics 620,15996708.0,68,16,48
Intel Core i3 6006U 2.0GHz,4,1TB HDD,AMD Radeon R5 M420X,4052084.4,48,9,20
Intel Core i5 7300HQ 2.5GHz,12,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,12181150.8,70,4,68
Intel Celeron Dual Core N3060 1.6GHz,4,32GB Flash Storage,Intel HD Graphics 400,2640924.0,34,22,36
AMD A4-Series 7210 2.2GHz,4,500GB HDD,AMD Radeon R3,3370068.0,7,25,13
Intel Core i5 7200U 2.5GHz,4,128GB SSD,Intel HD Graphics 620,11248380.0,68,3,48
Intel Core i7 7500U 2.7GHz,16,256GB SSD,Intel HD Graphics 620,12439908.0,89,16,48
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,15107508.0,89,16,48
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,15996708.0,68,16,48
Intel Core i7 6700HQ 2.6GHz,16,512GB SSD +  2TB HDD,Nvidia GeForce GTX 1060,23554908.0,84,31,72
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,13115700.0,68,16,48
Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia GeForce GTX 1050Ti,8260668.0,94,9,71
Intel Core i7 7500U 2.7GHz,8,1TB HDD,Nvidia GeForce 930MX,8002800.0,89,9,63
Intel Core i3 6006U 2.0GHz,4,1TB HDD,AMD Radeon R5 M420X,5459688.0,48,9,20
Intel Core i5 7300U 2.6GHz,8,500GB HDD,Intel HD Graphics 620,8314020.0,71,25,48
Intel Core i7 7Y75 1.3GHz,8,512GB SSD,Intel HD Graphics 615,17900485.2,97,28,47
Intel Core i7 6820HK 2.7GHz,32,256GB SSD +  256GB SSD,Nvidia GeForce GTX 980M,11372868.0,85,18,85
Intel Core i7 7Y75 1.3GHz,16,256GB SSD,Intel HD Graphics 615,14662908.0,97,16,47
Intel Core i7 7500U 2.7GHz,8,256GB Flash Storage,Intel HD Graphics 620,18219708.0,89,15,48
Intel Core i5 7200U 2.5GHz,8,512GB SSD,Intel HD Graphics 620,17454907.08,68,28,48
Intel Core i7 7500U 2.7GHz,16,512GB SSD,Intel HD Graphics 620,18664308.0,89,28,48
Intel Core i7 7500U 2.7GHz,8,512GB SSD,Intel HD Graphics 620,13186836.0,89,28,48
Intel Celeron Dual Core 3205U 1.5GHz,4,16GB Flash Storage,Intel HD Graphics,3192228.0,30,6,35
Intel Core i5 6300HQ 2.3GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,7015788.0,64,4,82
Intel Core i7 7500U 2.7GHz,8,512GB SSD,Intel HD Graphics 620,16885908.0,89,28,48
Intel Core i5 7440HQ 2.8GHz,8,256GB SSD,Intel HD Graphics 620,10714860.0,72,16,48
Intel Core M 6Y75 1.2GHz,8,240GB SSD,Intel HD Graphics 515,27565200.0,41,14,41
Intel Core i7 7500U 2.7GHz,6,256GB SSD,Nvidia GeForce 940MX,7015788.0,89,16,66
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce 930MX,9060859.08,89,16,63
Intel Core i3 7100U 2.4GHz,4,1TB HDD,Intel HD Graphics 620,4437108.0,53,9,48
Intel Core i5 7200U 2.5GHz,4,128GB SSD,Intel HD Graphics 620,7833852.0,68,3,48
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,8536320.0,68,16,48
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,14218308.0,94,17,69
Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,11995308.0,94,4,69
Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,9958239.72,70,4,68
Intel Core i5 7200U 2.5GHz,4,1TB HDD,AMD Radeon R5 M420,6090931.08,68,9,19
Intel Core i7 6500U 2.5GHz,8,256GB SSD,AMD Radeon R7 M365X,11532835.08,81,16,24
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,10216908.0,89,16,48
Intel Core i7 6600U 2.6GHz,16,256GB SSD,Nvidia GeForce 930M,17561700.0,83,16,62
Intel Core i5 7200U 2.5GHz,8,512GB SSD,Intel HD Graphics 620,16227900.0,68,28,48
Intel Core i5 6200U 2.3GHz,4,500GB HDD,Intel HD Graphics 520,6490270.8,62,25,42
Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,14671800.0,89,16,48
Intel Core i5 6200U 2.3GHz,8,256GB SSD,Intel HD Graphics 520,10359180.0,62,16,42
Intel Core i5 7200U 2.5GHz,4,1TB HDD,Intel HD Graphics 620,6296069.52,68,9,48
Intel Core i5 6200U 2.3GHz,4,500GB HDD,Intel HD Graphics 520,10216908.0,62,25,42
Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,Intel HD Graphics 505,2747628.0,103,9,39
Intel Core i5 6200U 2.3GHz,4,500GB HDD,Intel HD Graphics 520,14040468.0,62,25,42
Intel Celeron Dual Core N3060 1.6GHz,4,1TB HDD,Intel HD Graphics 400,2568898.8,34,9,36
Intel Core i7 6560U 2.2GHz,16,1TB SSD,Intel Iris Graphics 540,15996708.0,82,12,50
Intel Core i5 6200U 2.3GHz,4,128GB SSD,Intel HD Graphics 520,9825660.0,62,3,42
Intel Core i5 6200U 2.3GHz,8,256GB SSD,Intel HD Graphics 520,14840748.0,62,16,42
Intel Core i3 6006U 2.0GHz,4,1TB HDD,Intel HD Graphics 520,4967071.2,48,9,42
Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,10661508.0,94,4,68
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,14573988.0,68,16,48
Intel Core i7 6820HK 2.7GHz,16,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1080,24524136.0,85,29,75
Intel Core i5 6300HQ 2.3GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 965M,12439908.0,64,4,83
Intel Pentium Quad Core N3710 1.6GHz,4,1TB HDD,Nvidia GeForce 920MX,4712760.0,102,9,60
Intel Core i5 7200U 2.5GHz,4,500GB HDD,Intel HD Graphics 620,5504148.0,68,25,48
Intel Core i5 6200U 2.3GHz,8,256GB SSD,Intel HD Graphics 520,9950148.0,62,16,42
Intel Core M m7-6Y75 1.2GHz,8,256GB SSD,Intel HD Graphics 515,11550708.0,47,16,41
AMD FX 8800P 2.1GHz,16,512GB SSD +  1TB HDD,AMD Radeon R9 M385,8883108.0,22,29,29
Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics,13090802.4,68,16,35
Intel Core i7 7500U 2.7GHz,8,1TB HDD,Nvidia GeForce 920MX,6091020.0,89,9,60
Intel Core i3 6006U 2.0GHz,4,1TB HDD,AMD Radeon R7 M445,5859828.0,48,9,26
Intel Celeron Dual Core N3060 1.6GHz,4,32GB Flash Storage,Intel HD Graphics 400,3103308.0,34,22,36
Intel Core i7 6820HQ 2.7GHz,8,8GB SSD,Nvidia Quadro M1000M,19998108.0,86,36,91
Intel Core i7 7600U 2.8GHz,8,256GB SSD,Intel HD Graphics 620,15783300.0,91,16,48
Intel Core i5 6200U 2.3GHz,8,256GB SSD,Intel HD Graphics 520,12982320.0,62,16,42
Intel Core M M7-6Y75 1.2GHz,8,64GB Flash Storage,Intel HD Graphics 515,10305828.0,44,33,41
Intel Core i7 6600U 2.6GHz,8,256GB SSD,Intel HD Graphics 520,13240099.08,83,16,42
Intel Core i7 7700HQ 2.8GHz,16,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,28045368.0,94,29,73
Intel Core i5 7Y54 1.2GHz,8,256GB SSD,Intel HD Graphics 615,16885908.0,74,16,47
Intel Pentium Quad Core N4200 1.1GHz,4,256GB SSD,Intel HD Graphics 505,6891300.0,103,16,39
Intel Core i7 6500U 2.5GHz,8,256GB SSD,Intel HD Graphics 520,11275056.0,81,16,42
Intel Celeron Dual Core N3060 1.6GHz,4,32GB Flash Storage,Intel HD Graphics 400,3458988.0,34,22,36
Intel Core i5 6300U 2.4GHz,8,256GB SSD,Intel HD Graphics 520,13649220.0,65,16,42
Intel Core i5 7300U 2.6GHz,8,256GB SSD,Intel HD Graphics 620,15649920.0,71,16,48
Intel Core i5 7200U 2.5GHz,12,128GB SSD +  1TB HDD,Nvidia GeForce GTX 950M,8972028.0,68,4,79
Intel Core i7 7500U 2.7GHz,8,512GB SSD,Intel HD Graphics 620,15916680.0,89,28,48
Intel Core i5 7200U 2.50GHz,8,1TB HDD,Nvidia GeForce 930MX,7527078.0,67,9,63
Intel Core i3 6006U 2.0GHz,4,1TB HDD,AMD Radeon R5 M430,4140293.04,48,9,21
Intel Core i5 7200U 2.5GHz,4,500GB HDD,Intel HD Graphics 620,7335900.0,68,25,48
Intel Core i3 7100U 2.4GHz,4,500GB HDD,Intel HD Graphics 620,6091020.0,53,25,48
Intel Core i7 7700HQ 2.8GHz,32,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,28000908.0,94,17,73
Intel Core i5 7200U 2.5GHz,6,256GB SSD,Nvidia GeForce 920MX,6179940.0,68,16,60
Intel Core i7 7Y75 1.3GHz,16,512GB SSD,Intel HD Graphics 615,16885908.0,97,28,47
Intel Core i7 6600U 2.6GHz,8,256GB SSD,Intel HD Graphics 520,17454818.16,83,16,42
Intel Core i7 6700HQ 2.6GHz,32,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,24897600.0,84,17,73
Intel Core i5 6200U 2.3GHz,8,256GB SSD,Intel HD Graphics 520,10492560.0,62,16,42
Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,18227710.8,94,17,72
Intel Core i5 7200U 2.70GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,8705268.0,69,4,63
Intel Core i5 6200U 2.3GHz,4,508GB Hybrid,Intel HD Graphics 520,8909784.0,62,26,42
